timestamp,temperature_2m,relative_humidity_2m,temperature_2m_scaled,relative_humidity_2m_scaled,sound_volume
2024-01-03 12:00:00,10.533,70.94507,-0.18038568,-0.50927037,0.20094034643150852
2024-01-03 13:00:00,10.433,74.96206,-0.19374244,-0.23777643,-0.24244747695427732
2024-01-03 14:00:00,10.483,72.92835,-0.18706407,-0.37522736,1.3721357091097135
2024-01-03 15:00:00,9.983,75.66557,-0.2538476,-0.19022845,-0.26347211270399856
2024-01-03 16:00:00,9.633,77.19362,-0.30059597,-0.08695332,0.767565823424603
2024-01-03 17:00:00,8.983,80.64372,-0.38741463,0.1462268,0.2266412448528337
2024-01-03 18:00:00,8.433001,85.74576,-0.4608764,0.49105504,-0.8884315482371192
2024-01-03 19:00:00,8.382999,86.03672,-0.46755493,0.51072013,0.5657471583209585
2024-01-03 20:00:00,8.283,88.12686,-0.48091155,0.6519853,-1.9365440128664209
2024-01-03 21:00:00,8.233,85.42904,-0.48758993,0.46964914,2.122059547734095
2024-01-03 22:00:00,8.033,85.11238,-0.5143033,0.44824734,-0.3332208573758231
2024-01-03 23:00:00,7.883,84.21504,-0.5343384,0.38759944,-0.8213855233498378
2024-01-04 00:00:00,7.483,85.64517,-0.5877653,0.4842568,-0.9013686262376435
2024-01-04 01:00:00,7.833,84.795784,-0.54101676,0.4268497,1.0461579504189202
2024-01-04 02:00:00,7.433,84.45637,-0.59444356,0.40390977,-1.2339450873069322
2024-01-04 03:00:00,7.633,85.66112,-0.5677302,0.4853345,-0.9482621643524166
2024-01-04 04:00:00,7.483,85.943214,-0.5877653,0.5044004,-0.36708938208940456
2024-01-04 05:00:00,7.333,85.035225,-0.60780025,0.44303265,1.344720412320524
2024-01-04 06:00:00,7.283,84.14528,-0.61447865,0.3828844,0.12519341984446078
2024-01-04 07:00:00,7.233,82.68301,-0.621157,0.28405464,-0.4451428810511838
2024-01-04 08:00:00,7.133,82.96005,-0.63451374,0.3027792,-0.34786249327769014
2024-01-04 09:00:00,7.533,81.57405,-0.5810869,0.20910434,1.3430743164412047
2024-01-04 10:00:00,7.683,77.96682,-0.5610518,-0.034695443,-0.8022041793449907
2024-01-04 11:00:00,7.983,75.06178,-0.52098167,-0.23103645,0.39085681730066496
2024-01-04 12:00:00,8.382999,73.05138,-0.46755493,-0.3669126,0.09545605009485901
2024-01-04 13:00:00,9.133,66.332886,-0.3673795,-0.8209912,-0.2811271461465884
2024-01-04 14:00:00,8.933,66.99616,-0.394093,-0.77616274,1.2646427515914893
2024-01-04 15:00:00,8.183001,69.49389,-0.49426818,-0.6073504,-0.5895533023640622
2024-01-04 16:00:00,6.633,76.980515,-0.7012972,-0.10135627,0.4654917098369734
2024-01-04 17:00:00,5.683,83.3657,-0.8281859,0.33019546,0.871965214812933
2024-01-04 18:00:00,5.683,85.15092,-0.8281859,0.45085186,0.5932089004617674
2024-01-04 19:00:00,5.933,83.39631,-0.79479414,0.3322642,0.6337072481398509
2024-01-04 20:00:00,5.433,85.7268,-0.8615777,0.48977366,1.0526738030024259
2024-01-04 21:00:00,5.133,86.9158,-0.9016478,0.5701341,2.050100530830469
2024-01-04 22:00:00,4.283,88.38888,-1.0151798,0.669694,0.7638568646925997
2024-01-04 23:00:00,3.733,87.711716,-1.0886416,0.62392706,0.03909917795967634
2024-01-05 00:00:00,3.483,85.2101,-1.1220335,0.45485172,-0.1501698087234709
2024-01-05 01:00:00,5.133,77.01037,-0.9016478,-0.099338554,0.6629632287561602
2024-01-05 02:00:00,4.483,79.7191,-0.98846644,0.083734944,-0.964928276894701
2024-01-05 03:00:00,3.783,81.64963,-1.0819633,0.2142123,0.3179331303262911
2024-01-05 04:00:00,4.783,73.43138,-0.94839627,-0.34122944,-0.9232013826440231
2024-01-05 05:00:00,5.133,69.61794,-0.9016478,-0.59896606,-0.4845751018738565
2024-01-05 06:00:00,5.133,68.36623,-0.9016478,-0.6835651,-0.34262847793553586
2024-01-05 07:00:00,6.083,65.41987,-0.77475905,-0.8826988,0.12943403213145954
2024-01-05 08:00:00,6.483,68.40423,-0.7213323,-0.68099666,-1.4786306799974067
2024-01-05 09:00:00,7.383,70.3249,-0.60112196,-0.5511855,-1.400372195548083
2024-01-05 10:00:00,8.583,71.312515,-0.4408414,-0.48443598,-0.7194976221038235
2024-01-05 11:00:00,9.583,69.29004,-0.30727434,-0.6211279,0.0902582736800951
2024-01-05 12:00:00,10.083,68.429115,-0.24049084,-0.6793146,0.6510939066139712
